dataname,approach,pd,prec,f1,accuracy,AUC
OpenStack,Rose,0.66,0.79,0.72,1.0,0.8318782720358235
OpenStack,Rose,0.67,0.74,0.7,1.0,0.8256509773577866
OpenStack,Rose,0.62,0.75,0.68,1.0,0.8071758420862006
OpenStack,Rose,0.67,0.8,0.73,1.0,0.818093877931799
OpenStack,Rose,0.68,0.67,0.67,1.0,0.8081636264857924
OpenStack,Rose,0.67,0.81,0.73,1.0,0.7820191685050432
OpenStack,Rose,0.62,0.76,0.69,1.0,0.8250706540230265
OpenStack,Rose,0.67,0.69,0.68,1.0,0.8119652245014432
OpenStack,Rose,0.67,0.72,0.69,1.0,0.8233313303260786
OpenStack,Rose,0.66,0.75,0.7,1.0,0.8191851053087925
